n	s	1.424432
t	r	1.622936
t	s	1.147988
s	o	1.564824
i	e	1.544756
s	r	0.74826
r	a	1.832104
n	d	1.605668
e	t	1.702624
o	n	1.808608
h	n	0.74826
t	n	0.859528
o	h	1.010872
t	o	1.727036
i	a	1.457084
e	i	1.362256
n	i	1.519208
e	s	1.691312
a	e	1.259272
a	n	1.896168
h	a	1.632956
n	h	0.932132
d	a	1.616116
d	s	0.898756
e	d	1.747632
o	t	1.645944
r	d	1.32636
d	e	1.89978
h	e	1.776816
r	i	1.75014
i	n	1.897976
d	h	1.147988
d	d	1.382104
a	a	0.987336
n	e	1.875772
a	h	1.294552
e	e	1.626304
r	h	1.07074
h	t	0.6514
a	t	1.848464
h	h	0.74826
i	i	0.932132
n	a	1.697008
n	o	1.612664
s	d	0.74826
h	i	1.568716
r	e	1.986864
i	o	1.457084
d	i	1.583912
r	r	1.412848
i	d	1.63624
t	t	1.457084
r	s	1.362256
i	t	1.63624
t	h	1.764892
n	r	0.859528
h	r	1.185916
i	s	1.697008
h	s	0.74826
a	r	1.973128
e	n	1.890692
i	h	0.932132
i	r	1.598548
t	i	1.729664
o	e	1.249804
n	n	1.418688
n	t	1.699824
t	d	0.6514
a	s	1.740024
d	n	0.859528
a	i	1.605668
a	d	1.697008
o	a	1.424432
e	a	1.710916
e	h	1.104264
o	r	1.799752
o	d	1.532192
a	o	1.119608
d	r	1.259272
o	s	1.60918
t	a	1.86232
s	e	1.897976
r	o	1.75014
h	o	1.670752
s	i	1.679688
r	n	1.418688
s	h	1.762468
h	d	0.74826
s	t	1.9087
r	t	1.540612
o	o	1.552908
e	r	2.131344
t	e	2.051728
e	o	1.104264
s	n	1.32636
d	o	1.626304
s	a	1.642732
s	s	1.501168
d	t	0.74826
o	i	1.375616
