n	s	1.068324
t	r	1.217202
t	s	0.860991
s	o	1.173618
i	e	1.158567
s	r	0.561195
r	a	1.374078
n	d	1.204251
e	t	1.276968
o	n	1.356456
h	n	0.561195
t	n	0.644646
o	h	0.758154
t	o	1.295277
i	a	1.092813
e	i	1.021692
n	i	1.139406
e	s	1.268484
a	e	0.944454
a	n	1.422126
h	a	1.224717
n	h	0.699099
d	a	1.212087
d	s	0.674067
e	d	1.310724
o	t	1.234458
r	d	0.99477
d	e	1.424835
h	e	1.332612
r	i	1.312605
i	n	1.423482
d	h	0.860991
d	d	1.036578
a	a	0.740502
n	e	1.406829
a	h	0.970914
e	e	1.219728
r	h	0.803055
h	t	0.48855
a	t	1.386348
h	h	0.561195
i	i	0.699099
n	a	1.272756
n	o	1.209498
s	d	0.561195
h	i	1.176537
r	e	1.490148
i	o	1.092813
d	i	1.187934
r	r	1.059636
i	d	1.22718
t	t	1.092813
r	s	1.021692
i	t	1.22718
t	h	1.323669
n	r	0.644646
h	r	0.889437
i	s	1.272756
h	s	0.561195
a	r	1.479846
e	n	1.418019
i	h	0.699099
i	r	1.198911
t	i	1.297248
o	e	0.937353
n	n	1.064016
n	t	1.274868
t	d	0.48855
a	s	1.305018
d	n	0.644646
a	i	1.204251
a	d	1.272756
o	a	1.068324
e	a	1.283187
e	h	0.828198
o	r	1.349814
o	d	1.149144
a	o	0.839706
d	r	0.944454
o	s	1.206885
t	a	1.39674
s	e	1.423482
r	o	1.312605
h	o	1.253064
s	i	1.259766
r	n	1.064016
s	h	1.321851
h	d	0.561195
s	t	1.431525
r	t	1.155459
o	o	1.164681
e	r	1.598508
t	e	1.538796
e	o	0.828198
s	n	0.99477
d	o	1.219728
s	a	1.232049
s	s	1.125876
d	t	0.561195
o	i	1.031712
